track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_length
5InWRmnfgjVwQWoXHNBATu,0.696,0.893,9,-2.963,1,0.076,0.0662,0.0,0.473,0.573,97.954,4,214.013
442j8VxaB60dWf9cBFuX5w,0.324,0.327,2,-7.494,1,0.0409,0.825,0.0,0.101,0.334,81.328,4,327.773
2PuabCuixXyVBlCy2SOXiq,0.604,0.253,8,-9.506,1,0.0343,0.956,0.0,0.0875,0.436,129.544,4,247.107
7KeaQ6VDDKu7C9psiMT0qm,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991,4,198.774
7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,4,202.533
4BJ5T8ZZZ3UrPG7k0OVQrp,0.568,0.863,7,-4.093,1,0.304,0.0405,5.97e-06,0.211,0.438,173.007,4,242.283
4iJrZGr7ycnKyFxa1pfEHn,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,4,231.212
2Gl0FzuLxflY6nPifJp5Dr,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,4,193.511
2pV8RpdLemcyMWko8dASVt,0.398,0.174,0,-11.16,1,0.0364,0.958,4.16e-06,0.158,0.153,172.152,3,232.339
6v4F5IaKUITBPzt2wztoiZ,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,4,213.428
2kvgmr5CFhSvleQqTjB3eP,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023,4,201.122
42ydLwx4i5V49RXHOozJZq,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,4,230.227
2OlWBmSjf1aUPGLNf0UI5A,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4,197.267
3qRHCvn70YpVFFkx3lrAYf,0.636,0.741,11,-5.436,0,0.041,0.0132,0.0,0.287,0.53,88.999,4,225.218
7jHzO2EPJzt1JgHQ80aRu0,0.659,0.781,6,-5.143,0,0.122,0.0573,2.06e-06,0.0832,0.458,94.98,4,210.68
6khDguAo8XXW1h0u7xofYk,0.641,0.878,7,-4.605,0,0.0505,0.0181,0.0,0.115,0.335,114.075,4,200.76
76eBb8heDKtUg68WiKX9j1,0.558,0.451,9,-6.163,1,0.0388,0.292,0.0,0.101,0.238,150.008,4,265.382
3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,4,269.56
3s2FxrA4ZXbTR6SlH6LXh9,0.871,0.754,6,-5.771,1,0.034,0.217,1.09e-05,0.122,0.924,110.97,4,210.92
0Zbbxnx4SGGHoIow4PpISP,0.677,0.497,5,-5.763,1,0.0809,0.152,0.0,0.0911,0.419,99.137,4,236.853
4aSfgWmRa9KsISD4Jmx7QB,0.736,0.449,10,-7.956,0,0.0633,0.506,6.63e-05,0.117,0.487,147.971,4,202.28
4A95W8Z7DGEFvD2j7pmtUB,0.773,0.629,2,-7.247,1,0.0937,0.00544,0.0,0.0744,0.696,117.029,4,257.676
3eR23VReFzcdmS7TYCrhCe,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,4,220.781
